
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
      Lambda[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
    W_tilde[29,2]     -5.35      1.92     -5.27     -8.33     -2.12    569.28      1.00
    W_tilde[29,3]      1.75      0.97      1.75      0.15      3.33    581.56      1.00
    W_tilde[29,4]      4.91      1.23      4.85      2.87      6.90    610.82      1.00
    W_tilde[30,0]     -4.94      2.00     -4.84     -8.01     -1.59    702.49      1.00
    W_tilde[30,1]     14.44      3.00     14.17      9.99     19.49    208.27      1.00
    W_tilde[30,2]      4.85      1.08      4.76      3.18      6.67    509.68      1.00
    W_tilde[30,3]      4.65      1.30      4.55      2.38      6.56    360.13      1.00
    W_tilde[30,4]      7.53      1.76      7.38      4.78     10.31    312.61      1.00
    W_tilde[31,0]      2.63      1.44      2.56      0.61      5.19    631.82      1.00
    W_tilde[31,1]     -1.51      3.79     -0.62     -6.82      4.17    644.14      1.00
    W_tilde[31,2]     -2.42      1.39     -2.33     -4.94     -0.39    712.50      1.01
    W_tilde[31,3]     -3.43      1.83     -3.17     -6.48     -0.85    731.25      1.00
    W_tilde[31,4]      3.94      1.38      3.81      1.93      6.14    758.20      1.00
    W_tilde[32,0]     -2.83      2.42     -2.58     -6.47      0.88    681.94      1.00
    W_tilde[32,1]     -8.53      5.98     -7.70    -17.87      0.98    597.60      1.00
    W_tilde[32,2]      2.26      1.69      2.41     -0.37      5.03    750.34      1.00
    W_tilde[32,3]     -1.89      2.69     -1.40     -6.10      1.97    611.23      1.00
    W_tilde[32,4]     -3.30      1.98     -2.95     -6.61     -0.46    727.29      1.00
    W_tilde[33,0]     -4.19      1.97     -4.07     -7.61     -1.22    967.82      1.00
    W_tilde[33,1]     -5.42      5.01     -4.66    -13.79      1.79    713.92      1.00
    W_tilde[33,2]      3.12      1.25      3.11      1.26      5.15    862.65      1.00
    W_tilde[33,3]     -2.48      2.38     -2.06     -6.06      1.28    720.63      1.00
    W_tilde[33,4]      1.60      0.75      1.59      0.19      2.69    825.74      1.00
    W_tilde[34,0]      0.35      1.18      0.56     -1.41      2.15    594.43      1.00
    W_tilde[34,1]    -10.46      5.26     -9.79    -18.14     -1.48   1121.69      1.00
    W_tilde[34,2]     -0.86      1.29     -0.74     -3.04      1.08    932.06      1.00
    W_tilde[34,3]     -3.57      2.34     -3.34     -7.15      0.27   1438.04      1.00
    W_tilde[34,4]     -3.89      2.01     -3.52     -7.16     -0.98   1022.79      1.00
