
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
      Lambda[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
    W_tilde[54,4]     -2.84      2.30     -2.45     -6.37      0.50   1013.68      1.00
    W_tilde[55,0]      6.06      1.83      5.86      3.13      9.03    628.92      1.00
    W_tilde[55,1]     -6.11      5.70     -5.35    -14.81      2.73    909.24      1.00
    W_tilde[55,2]     -5.05      1.97     -5.01     -8.32     -1.97    735.57      1.00
    W_tilde[55,3]     -2.89      2.49     -2.45     -6.79      0.81    892.38      1.00
    W_tilde[55,4]     -3.51      2.48     -3.28     -7.23      0.29    884.58      1.00
    W_tilde[56,0]      3.98      1.37      3.89      1.73      6.02    550.88      1.00
    W_tilde[56,1]     -6.87      5.80     -6.06    -16.20      1.54    813.40      1.00
    W_tilde[56,2]     -3.39      1.77     -3.38     -6.20     -0.30    683.15      1.00
    W_tilde[56,3]     -2.70      2.52     -2.31     -6.57      0.84    890.11      1.00
    W_tilde[56,4]     -3.65      2.22     -3.28     -6.91     -0.08   1169.17      1.00
    W_tilde[57,0]     -3.80      2.24     -3.72     -7.28     -0.00    605.79      1.01
    W_tilde[57,1]     18.95      3.52     18.96     13.48     24.83    378.43      1.00
    W_tilde[57,2]      4.24      1.18      4.17      2.45      6.19    454.14      1.00
    W_tilde[57,3]      7.59      1.39      7.56      5.20      9.69    390.67      1.01
    W_tilde[57,4]      6.68      1.77      6.57      3.86      9.45    403.19      1.00
    W_tilde[58,0]     -1.48      1.24     -1.31     -3.46      0.41    652.14      1.01
    W_tilde[58,1]     -8.54      6.31     -7.40    -18.16      1.00    770.56      1.00
    W_tilde[58,2]     -0.15      0.98     -0.03     -1.66      1.41    793.55      1.00
    W_tilde[58,3]     -2.64      2.84     -2.14     -7.06      1.68    835.77      1.00
    W_tilde[58,4]     -3.05      2.25     -2.79     -6.37      0.43    742.92      1.00
    W_tilde[59,0]      7.15      2.17      6.91      3.42     10.27    971.74      1.00
    W_tilde[59,1]     12.23      2.67     12.21      8.19     16.92    339.94      1.01
    W_tilde[59,2]     -5.24      2.18     -5.13     -8.84     -1.96    788.32      1.00
    W_tilde[59,3]      2.78      0.96      2.75      1.17      4.30    647.29      1.01
    W_tilde[59,4]      2.82      1.14      2.77      1.01      4.75    849.26      1.01
    W_tilde[60,0]      4.92      1.58      4.79      2.43      7.41    442.76      1.00
    W_tilde[60,1]     -4.57      6.34     -3.92    -15.00      4.80    918.54      1.00
    W_tilde[60,2]     -4.12      1.67     -4.00     -6.72     -1.37    524.49      1.00
    W_tilde[60,3]     -1.65      2.92     -1.36     -6.14      2.77   1061.02      1.00
    W_tilde[60,4]     -3.83      2.28     -3.51     -7.22     -0.11   1132.06      1.00
    W_tilde[61,0]      5.94      2.01      5.78      3.04      9.50    440.15      1.00
    W_tilde[61,1]     -4.06      6.20     -3.08    -13.48      5.00    761.46      1.00
    W_tilde[61,2]     -4.91      1.98     -4.81     -8.03     -1.72    457.59      1.00
    W_tilde[61,3]     -2.36      2.55     -1.99     -6.36      1.29    832.63      1.00
    W_tilde[61,4]     -2.57      2.62     -2.12     -6.49      1.22    693.14      1.00
    W_tilde[62,0]      5.32      1.78      5.19      2.81      8.32    414.77      1.00
    W_tilde[62,1]     17.97      3.89     17.77     11.23     23.55    442.57      1.00
    W_tilde[62,2]     -3.43      1.85     -3.37     -6.16     -0.33    684.75      1.00
    W_tilde[62,3]      6.53      1.82      6.32      3.85      9.50    684.34      1.00
    W_tilde[62,4]      2.53      0.85      2.51      1.18      3.94    660.98      1.00
    W_tilde[63,0]     -8.12      2.46     -8.05    -11.86     -3.89    738.66      1.00
    W_tilde[63,1]      6.76      3.50      6.69      1.51     12.36   1166.45      1.00
    W_tilde[63,2]      7.42      1.72      7.25      4.87     10.38    708.54      1.00
    W_tilde[63,3]      4.33      1.64      4.27      1.79      7.16    914.90      1.00
    W_tilde[63,4]      2.84      1.09      2.76      1.24      4.67    879.49      1.00
    W_tilde[64,0]      6.40      1.81      6.36      3.76      9.50    635.67      1.01
    W_tilde[64,1]     -3.76      5.53     -2.81    -12.19      4.52    680.60      1.00
    W_tilde[64,2]     -5.26      1.86     -5.14     -8.45     -2.31    745.53      1.00
    W_tilde[64,3]     -2.14      2.34     -1.62     -5.57      1.38    785.91      1.00
    W_tilde[64,4]     -2.82      2.73     -2.56     -7.69      0.97    998.01      1.00
    W_tilde[65,0]     -6.16      2.48     -6.04    -10.54     -2.57    546.35      1.00
    W_tilde[65,1]     -7.31      4.75     -6.64    -15.18     -0.63    835.01      1.00
    W_tilde[65,2]      4.90      1.50      4.76      2.46      7.24    575.52      1.00
    W_tilde[65,3]     -2.86      2.21     -2.47     -6.19      0.49    778.98      1.00
    W_tilde[65,4]      1.41      1.09      1.45      0.00      3.24   1003.53      1.00
    W_tilde[66,0]      4.64      1.46      4.43      2.43      7.06    637.27      1.00
    W_tilde[66,1]     -4.33      5.38     -3.26    -12.41      3.83    490.38      1.01
    W_tilde[66,2]     -4.13      1.51     -3.96     -6.49     -1.73    859.00      1.00
    W_tilde[66,3]     -1.76      2.36     -1.04     -5.30      1.64    488.40      1.01
    W_tilde[66,4]     -3.37      2.27     -3.11     -7.02      0.03   1206.71      1.00
    W_tilde[67,0]      5.13      1.77      4.89      2.32      7.82    702.75      1.01
    W_tilde[67,1]     17.44      3.78     17.14     11.65     23.68    430.56      1.00
    W_tilde[67,2]     -3.56      1.64     -3.35     -6.05     -1.00   1048.44      1.01
    W_tilde[67,3]      6.52      1.77      6.30      3.77      9.47    662.61      1.00
    W_tilde[67,4]      2.10      0.72      2.12      1.03      3.33    392.26      1.00
    W_tilde[68,0]      1.95      0.77      1.91      0.71      3.28    566.92      1.01
    W_tilde[68,1]     11.30      2.43     11.22      6.52     14.48    326.51      1.00
    W_tilde[68,2]     -1.54      1.26     -1.47     -3.70      0.49    553.26      1.00
    W_tilde[68,3]      4.10      1.03      4.03      2.42      5.68    424.10      1.00
    W_tilde[68,4]      1.57      1.48      1.67     -0.73      4.13    871.47      1.00
    W_tilde[69,0]     -4.61      2.08     -4.53     -7.96     -1.20    764.48      1.00
    W_tilde[69,1]      7.06      1.96      6.92      4.08     10.32    590.64      1.00
    W_tilde[69,2]      4.16      1.31      4.19      1.97      6.16    552.67      1.00
    W_tilde[69,3]      2.72      0.90      2.67      1.30      4.13    498.96      1.00
    W_tilde[69,4]      4.61      1.44      4.49      2.20      6.52    731.47      1.00
    W_tilde[70,0]     -7.07      2.24     -6.99    -10.81     -3.43    374.40      1.00
    W_tilde[70,1]     -3.57      4.06     -2.75     -9.42      2.78    640.25      1.00
    W_tilde[70,2]      5.72      1.45      5.68      3.63      8.38    445.03      1.00
    W_tilde[70,3]     -2.26      2.08     -1.85     -5.54      0.78    538.15      1.00
    W_tilde[70,4]      4.62      1.30      4.51      2.59      6.72    491.60      1.00
    W_tilde[71,0]     -6.03      2.10     -5.90     -9.26     -2.41    564.30      1.00
    W_tilde[71,1]      3.63      1.65      3.66      1.61      6.08    379.51      1.00
    W_tilde[71,2]      5.35      1.38      5.21      3.15      7.53    529.33      1.00
    W_tilde[71,3]      0.87      0.99      0.89     -0.67      2.38    651.75      1.00
    W_tilde[71,4]      5.04      1.52      4.88      2.47      7.28    673.00      1.00
    W_tilde[72,0]     -2.90      2.06     -2.77     -6.01      0.66   1152.80      1.00
    W_tilde[72,1]     -5.26      4.90     -4.76    -12.66      2.09    794.28      1.00
    W_tilde[72,2]      1.79      1.55      1.82     -0.63      4.42   1286.28      1.00
    W_tilde[72,3]     -3.09      2.16     -2.76     -6.39      0.04    880.85      1.00
    W_tilde[72,4]      1.96      1.51      2.04     -0.07      4.38    795.20      1.00
    W_tilde[73,0]     -5.47      2.30     -5.37     -9.43     -1.94    415.55      1.00
    W_tilde[73,1]     -1.92      3.61     -0.93     -7.48      3.00    602.80      1.00
    W_tilde[73,2]      4.23      1.40      4.10      2.05      6.41    825.30      1.00
    W_tilde[73,3]     -2.27      2.01     -1.87     -5.65      0.66    634.61      1.00
    W_tilde[73,4]      5.59      1.53      5.49      3.17      7.94    772.64      1.00
    W_tilde[74,0]      3.93      1.31      3.76      1.95      6.06    716.65      1.00
    W_tilde[74,1]     -6.66      6.05     -5.82    -15.30      2.10    681.82      1.00
    W_tilde[74,2]     -3.57      1.60     -3.48     -6.11     -0.99    828.95      1.00
    W_tilde[74,3]     -2.81      2.57     -2.37     -6.67      0.77    689.65      1.00
    W_tilde[74,4]     -3.31      2.36     -2.94     -6.76      0.33    928.53      1.00
    W_tilde[75,0]     -1.04      1.29     -0.94     -3.01      1.06    733.69      1.00
    W_tilde[75,1]      8.37      2.10      8.18      4.97     11.63    573.62      1.01
    W_tilde[75,2]      0.29      1.18      0.41     -1.52      2.04    649.22      1.00
    W_tilde[75,3]      3.16      1.00      3.11      1.60      4.76    817.83      1.00
    W_tilde[75,4]      2.45      1.11      2.41      0.59      4.13    937.39      1.00
    W_tilde[76,0]     -7.79      2.55     -7.82    -12.12     -3.77    297.82      1.00
    W_tilde[76,1]     -6.38      4.29     -5.45    -12.98     -0.30    762.85      1.00
    W_tilde[76,2]      6.31      1.50      6.17      3.79      8.71    443.52      1.00
    W_tilde[76,3]     -2.92      2.14     -2.47     -6.16      0.19    687.66      1.00
    W_tilde[76,4]      3.43      0.97      3.37      1.86      4.98    675.50      1.00
    W_tilde[77,0]     -4.27      2.19     -4.00     -7.84     -0.80    671.66      1.00
    W_tilde[77,1]     -9.62      5.46     -8.75    -17.82     -1.32    859.67      1.00
    W_tilde[77,2]      3.15      1.47      3.14      0.54      5.31    911.15      1.00
    W_tilde[77,3]     -3.02      2.35     -2.56     -6.48      0.39    897.68      1.00
    W_tilde[77,4]     -1.61      1.99     -1.13     -4.63      1.43    960.12      1.00
    W_tilde[78,0]     -1.44      1.09     -1.26     -3.13      0.16    905.39      1.00
    W_tilde[78,1]     -9.16      5.88     -8.42    -17.82     -0.13    626.01      1.00
    W_tilde[78,2]     -0.05      1.01      0.01     -1.68      1.59    651.45      1.00
    W_tilde[78,3]     -3.10      2.70     -2.49     -7.05      0.88    673.64      1.00
    W_tilde[78,4]     -2.80      2.20     -2.45     -6.06      0.49    783.41      1.00
    W_tilde[79,0]     -5.14      2.05     -5.09     -8.63     -2.07    782.40      1.00
    W_tilde[79,1]     -8.27      5.87     -7.15    -16.49      0.87    517.24      1.00
    W_tilde[79,2]      4.23      1.08      4.14      2.47      5.90    722.51      1.01
    W_tilde[79,3]     -2.02      2.54     -1.48     -5.68      1.53    588.04      1.00
    W_tilde[79,4]     -1.64      2.01     -1.21     -4.66      1.39    866.02      1.00
    W_tilde[80,0]     -1.28      1.89     -1.03     -4.00      1.87    930.35      1.00
    W_tilde[80,1]     -9.37      5.67     -8.59    -17.47     -0.60    765.74      1.00
    W_tilde[80,2]      0.58      1.57      0.69     -1.91      3.22   1076.98      1.00
    W_tilde[80,3]     -2.65      2.65     -2.19     -6.61      1.29    709.22      1.00
    W_tilde[80,4]     -3.67      1.84     -3.42     -6.25     -0.61   1322.55      1.00
    W_tilde[81,0]     -5.25      2.01     -5.20     -8.57     -2.15    551.75      1.00
    W_tilde[81,1]     -6.60      4.63     -5.91    -13.63      0.12    533.75      1.00
    W_tilde[81,2]      4.14      1.23      4.09      2.20      6.20    783.87      1.00
    W_tilde[81,3]     -3.13      2.19     -2.73     -6.61     -0.12    535.51      1.00
    W_tilde[81,4]      2.26      1.00      2.23      0.44      3.68   1028.33      1.00
    W_tilde[82,0]      3.10      0.94      3.01      1.71      4.76    634.33      1.00
    W_tilde[82,1]     -8.70      5.50     -7.95    -16.99      0.61    661.68      1.00
    W_tilde[82,2]     -2.89      1.42     -2.88     -5.29     -0.55    771.86      1.00
    W_tilde[82,3]     -3.59      2.41     -3.22     -7.13      0.25    720.40      1.00
    W_tilde[82,4]     -3.40      2.35     -3.01     -6.86      0.18    850.99      1.00
    W_tilde[83,0]      5.57      1.96      5.44      2.57      8.84    594.05      1.00
    W_tilde[83,1]     -2.70      3.66     -1.89     -8.79      2.55    738.99      1.01
    W_tilde[83,2]     -4.37      2.14     -4.25     -8.04     -1.09    570.67      1.00
    W_tilde[83,3]     -4.02      1.96     -3.72     -6.92     -0.83    773.56      1.01
    W_tilde[83,4]      2.67      0.85      2.62      1.19      3.86    900.77      1.00
    W_tilde[84,0]      6.32      1.71      6.18      3.57      9.02    341.26      1.01
    W_tilde[84,1]     17.50      3.17     17.43     12.36     22.55    163.28      1.01
    W_tilde[84,2]     -4.22      1.80     -4.16     -6.92     -0.91    676.58      1.00
    W_tilde[84,3]      4.71      1.13      4.66      2.64      6.30    391.33      1.01
    W_tilde[84,4]      5.24      1.47      5.22      2.70      7.52    791.47      1.00
    W_tilde[85,0]     -6.12      2.48     -6.11    -10.01     -2.06    890.36      1.00
    W_tilde[85,1]      6.12      2.41      6.14      2.57     10.19    716.91      1.00
    W_tilde[85,2]      5.61      1.71      5.45      2.63      8.11    605.89      1.00
    W_tilde[85,3]      3.67      1.16      3.66      2.01      5.55    621.16      1.00
    W_tilde[85,4]      2.51      1.31      2.52      0.42      4.61    995.93      1.00
    W_tilde[86,0]      3.44      1.19      3.41      1.56      5.34    496.05      1.01
    W_tilde[86,1]      6.32      1.87      6.19      3.10      9.22    432.69      1.00
    W_tilde[86,2]     -2.50      1.46     -2.33     -4.86     -0.27   1195.48      1.00
    W_tilde[86,3]      1.80      0.94      1.77      0.27      3.38    833.24      1.00
    W_tilde[86,4]      1.14      1.08      1.17     -0.65      2.77   1017.79      1.00
    W_tilde[87,0]     -3.68      1.91     -3.61     -6.98     -0.69    754.70      1.00
    W_tilde[87,1]     -5.57      5.78     -4.28    -14.39      3.18    422.39      1.01
    W_tilde[87,2]      3.06      0.93      3.00      1.66      4.66    756.16      1.00
    W_tilde[87,3]     -1.23      2.63     -0.58     -5.49      2.40    415.97      1.00
    W_tilde[87,4]     -1.21      2.00     -0.72     -4.21      1.76    717.72      1.00
    W_tilde[88,0]      1.38      1.09      1.47     -0.13      3.12    705.41      1.00
    W_tilde[88,1]     -1.35      4.28     -0.56     -7.34      5.36    726.25      1.00
    W_tilde[88,2]     -1.06      1.54     -0.98     -3.50      1.42    899.61      1.00
    W_tilde[88,3]     -2.42      2.08     -2.03     -5.82      0.37    771.98      1.00
    W_tilde[88,4]      2.80      1.00      2.72      1.31      4.44    854.26      1.00
    W_tilde[89,0]     -8.50      2.75     -8.25    -13.45     -4.49    273.74      1.00
    W_tilde[89,1]      7.64      2.15      7.47      3.84     10.72    607.00      1.00
    W_tilde[89,2]      7.94      2.06      7.70      4.67     11.09    444.00      1.00
    W_tilde[89,3]      5.72      1.14      5.65      3.84      7.52    257.09      1.00
    W_tilde[89,4]      1.25      1.04      1.29     -0.31      2.84   1032.11      1.00
    W_tilde[90,0]     -2.54      1.83     -2.34     -5.40      0.24    612.74      1.00
    W_tilde[90,1]    -10.96      5.63    -10.19    -19.63     -2.36    669.84      1.00
    W_tilde[90,2]      1.48      1.26      1.49     -0.48      3.53    831.82      1.00
    W_tilde[90,3]     -3.83      2.44     -3.45     -7.29      0.26    849.08      1.00
    W_tilde[90,4]     -2.36      2.08     -1.98     -5.39      0.71    543.50      1.00
    W_tilde[91,0]      2.92      1.11      2.86      1.20      4.76    901.67      1.00
    W_tilde[91,1]     -2.93      4.82     -2.09    -10.14      4.23    504.12      1.00
    W_tilde[91,2]     -2.51      1.55     -2.43     -4.71      0.10   1025.97      1.00
    W_tilde[91,3]     -2.71      2.28     -2.26     -6.15      0.63    597.22      1.00
    W_tilde[91,4]      0.83      1.22      0.97     -0.90      2.65    651.01      1.00
    W_tilde[92,0]      1.54      0.96      1.59      0.05      2.96   1370.85      1.00
    W_tilde[92,1]      8.38      1.84      8.29      5.38     11.12    423.39      1.00
